歌手名字,歌手ID
Aura Dione,46546
Allie X,973030
Lenka,64143
SHY Martin,12354062
Delacey,489045
Fleurie,860929
Tones and I,32152093
P!nk,70821
Alessia Cara,1074089
Bebe Rexha,336466
Katy Perry,62888
vietra,12468266
Zara Larsson,816461
Lindsey Stirling,66225
Laura Brehm,207693
Rachel Platten,74518
Charli XCX,53092
Kim Taylor,63943
Stephanie Poetri,32624368
Beyoncé,48436
Antoine Chambe,1177057
Jessie J,62662
Miley Cyrus,66361
Demi Lovato,53236
Monogem,1078007
Lola Coca,12040030
Bo Bruce,50877
Bishop Briggs,198937
IVIE,12154348
Colbie Caillat,50890
Russian Red,72726
Charlotte Lawrence,12335330
Shiloh,77283
Ingrid Michaelson,60351
Mariah Carey,66355
NIKI,473353
Danelle Sandoval,12583018
Britney Spears,48432
Emma Sameth,12131319
Cecile Corbel,51012
Bülow,12809019
Bianca,50563
Becky Hill,391079
Au/Ra,12143031
MØ,783150
Veela,193221
Anne-Marie,1102181
Christina Perri,52979
Noonie Bao,70298
Clairity,1060082
Joanna Jones,13932656
Celine Dion,50893
Jocelyn Pook,61082
Cardi B,12504253
Cartoon,51293
Gjan,851014
VÉRITÉ,963498
Kehlani,1060155
Tinashe,45221
Beatrich,12322300
Alice Merton,12202371
Sofia Reyes,999195
Clairo,12191215
Iggy Azalea,60906
Anjulie,46502
Alex Hope,12213103
歌手名字,歌手ID
Vicetone,747030
The Chainsmokers,893484
Imagine Dragons,94779
Coldplay,89365
OneRepublic,98105
Maroon 5,96266
Various Artists,104700
Fall Out Boy,56782
Two Steps From Hell,102714
Hawk Nelson,34518
The Score,212904
BEAUZ,12131436
Broiler,886022
Westlife,45839
Feint,93062
Cash Cash,50905
Owl City,40859
Boyce Avenue,29709
Linkin Park,95439
Anthem Lights,86862
Russian Village Boys,13618375
The Script,102028
Approaching Nirvana,86884
Against the Current,783418
One Direction,98351
Queen,41906
Little Mix,96072
Loud Luxury,12096064
Transviolet,1122080
Gamper & Dadoni,1085102
Hella,59616
Clean Bandit,754010
Mako,68192
The xx,102035
Dimitri Vegas & Like Mike,791298
5 Seconds of Summer,893624
Cheat Codes,1078252
Audiomachine,87066
Krewella,208915
Goodboys,31385169
Rauf & Faik,28276929
Oh Wonder,1050128
Nightwish,97516
X-Ray Dog,105618
SAFIA,986155
The Glitch Mob,102954
Walk off the Earth,105493
W&W,46131
The Cab,44403
Deep Side,55350
Sexion d'Assaut,101352
Young Rising Sons,947185
The Word Alive,213073
Campsite Dream,1146068
Ashes Remain,87231
Hearts & Colors,12399051
Black Eyed Peas,88146
Carpenters,89363
VINAI,804422
Backstreet Boys,88148
Bahari,1044218
Far East Movement,92526
Far Out,824107
LANY,999460
Us The Duo,1049685
Lovestoned,95748
Why Mona,15008055
Matisse & Sadko,947054
ItaloBrothers,94730
Sleepy Times,1182258
Tungevaag & Raaban,1090022
Asketa & Natan Chaim,32523005
Blue,88145
Loote,12408152
Fitz and The Tantrums,92830
Dirty Rush & Gregor Es,12097106
Passenger,70840
Sunstroke Project,1049232
Dan + Shay,865061
twenty one pilots,784190
Migos,776824
Major Lazer,96309
Else,1181848
Daft Punk,90513
Capo Productions,90097
Grey,58424
Secret Garden,99988
The Downtown Fiction,103121
Diddy-Dirty Money,91126
Showtek,100696
CAS,12023319
Fifth Harmony,794152
Push Baby,840899
Eagles,91725
AJR,88089
Louis The Child,1124134
Why Don't We,12468277
LSD,575566
BROODS,839948
Fly Project,92933
歌手名字,歌手ID
α·Pav,4716
Gany,30709091
AniFace,12259037
PonySoore,1053121
мавлан музыка,12606574
Miradiljan-Bawudun,13450978
GRABOTE,30476593
aEZi,12227540
Hoaprox,1177234
GneHHHc,31516809
Namunong,12127409
明洋,30381505
Bad Style,1047263
Bilal Enwer,1039011
Lopu$,12027465
Taxmamat-Batur,33752067
Askar Muhtar,33859953
四季音色,12028059
Sanubar Tursun,13192142
Farrux Xamrayev,12282707
Mewlan Memtimin 买吾兰,12037170
Ghulamjan Yakup,33912265
YUKIri,12216068
Xakir Rehimjan,34147024
Shohrux,12171067
牛奶味夹心阿尔卑斯,12085539
Arijit Singh,956454
JIEBOSS,12396254
Abdugeni-Turdi,14585902
GEZR,30602367
Adiljan Mamitimin,12083816
Hoxur-Kari,34291291
蓝云木,12277201
昙轩,13148274
Mr.mo,12092465
remix,12316095
Anti-General,1007061
Uzmir,29999887
买买吐逊,34519287
白百依,1213020
TangTian,33989687
艾尔肯,12226106
SimorE,1203059
ismail-yk,1049007
SlimV,12309121
Sarvar va Komil,12095021
emoshinobi,12395082
鲸鱼马戏团,1026039
迪玛希Dimash,12274208
Alisher Zokirov,12250281
Ablikim·Enwar,12226931
Xomu,12903205
Arman Xukrat,12465294
LANLIU,33998291
SheldonLeeee,13790012
Kaysar,13109300
罗布桑珠,12570941
阿力木江·托合提,1058073
Boy Sompob,1132410
Ivan Torrent,816336
Hikmet Qasim,34436701
Rocky-Sadirdin,12118620
ChenDjoy,1143054
Nutul,12184546
Egco蔡唯真,31655683
AVALON,12228495
Sir小凯,31573905
1n,12085208
Ablet ablikim 阿布来提阿布力克木,33037763
张小她,12193962
Pritam,956243
Yvonne,27695743
DarkSpirit,12528208
Sardor Rahimxon,12931679
Mattohti Sattar,34522348
Halida-Imam,33999211
Miri Yusif,1120117
Muratjan Muhter,12205176
Djjanim,30708188
Ebrayim Enwer,12293164
Erpan Abduwali,34436832
douer_lucky,14585825
Masque_Jupiter,12336331
BobbyER,12548179
SaMZIng,1203033
sagun,12675217
iw ix,3441
涼太RyoT,33046677
海瓦斯Hawvas,30000828
Bojalar Guruhi,1181290
Eliyar Hudabardi,1061020
Mix-01,30001519
Deniz Koyu,201960
张彵凡,12146177
Aosaki,189605
Max Jenmana,1040017
PARIS,32938431
Abduhalik-Turghun,34031680
Mamatali-Molla,31315411
Canyon City,12474881
歌手名字,歌手ID
Shirfine,189603
茜拉,275494
Uyghu-Music,12967596
音浪,1039375
Shafaet Osman,12851125
GulgineMollaemet,12194330
Sevinch Mo'minova,12200929
Sainkho Namtchylak,106570
Kurbannisa-Barat,30382011
Alka Yagnik,106399
Saniyam Ismail,12874411
Lata Mangeshkar,106489
Yuna,106626
Veronica,106614
Siti Badriah,12710805
Fargana-Alim,34054319
梓零,32543115
DU丢丢丢,12281458
汪川,12272944
SPLASH BEATS,34368318
Csaprs,32607401
Lola,1193539
zulhumar zeper,30796397
Nuzur Zeli,12091148
Yvon,12286524
Isyana Sarasvati,1177004
猫叶叶,14608399
Gulsanam Mamazoitova,12974012
Baturjan Gittar,12332137
Dilso'z,12935099
小波蒂,12184692
Truong Quynh Anh,106601
Ten Nararak,106600
Meghna Mishra,12902072
水玥兒,12255040
Terrorjam,13288223
南有乔木,12662666
王书怡,28292080
SudiyeAy Mexmut,12204228
MY老鱼,12867203
Manzura,12930100
樹莓蛋奶酥,12183274
Nyaameow,12473511
木有mo,34467814
Palmy,72539
Nan Vatiya,11971047
Praewa Nichaphat,29811710
Nathalie Saba,11991063
逗子,12183661
Toey Jarinporn,106605
绾绾Akari,12027555
Tata Young,18167
三 角 測 距,12320883
Arabic,31837415
Akii,30127142
Ozoda Nursaidova,12974158
Lydia Sarunrat,106470
Pazliya Amat,34208324
Zhenya Lubich,12008148
Carmen卡萌酱,32833962
AK1<万岁>,13795175
Panadda Ruangwut,72578
Gypso Ariigantha,1192179
Dilara Abduxukur,34093464
Asha Bhosle,106414
伊帕尔古丽,1064029
Jeab Wattana,106452
Wonderframe,12927016
ChianoSky,955063
Suchitra,1111014
才姆措,12632451
张塔拉Tara,27865536
elenaanele,14072127
Aleyna Tilki,12566123
Chi Pu,12948040
Claudia Barretto,12719033
L Y V E T,34150014
Phyu Phyu Kyaw Thein,31079535
Cantika Abigail,12278992
Namfon Indee,31468442
Laura Mam,31469280
Sol Ciel,12273001
北檀,12204552
Elissa,56589
Lula,106479
Earth Patravee,1132774
水曜日,189941
Da Endorphine,106421
Brezz,30000972
蜡笔没了小新,34537273
Frioniel,30000620
IW_Spinel,12520763
Öxacillis,34601855
Ice Preechaya,1193231
Mook Worranit,1085015
BOWKYLION,12312115
cattzįm,12277696
LizzI,12205751
Rainych,34792117
Guzalnur-Kasim,34402942
歌手名字,歌手ID
Scrubb,203857
Do Shit,12139012
Benom guruhi,12505929
抛,12051100
Dervishi,106727
Джаро & Ханза,13486033
4oot,12259787
Getsunova,905156
Cheetah Mobile Games,12276318
Spaceport Records,32971452
新疆Kelkvn说唱团体,12568487
ForceZL,1184013
Lipta,904054
ShahMat,12924615
夜の律,13537449
Jatin-Lalit,106801
九宝乐队,106805
bauzular,30130033
Yillar guruhi,12935103
ZebraZebra,13683852
TEMPT,12202425
HAKAN,12955345
Hurd,106780
Amanecer Ecuador,106647
Lazyloxy,30119010
Bill & Brod,13021939
eigenTunes亦听,1207047
Budapest Festival Orchestra,106682
林如韵,12600335
MEAN,12387031
Nadeem & Shravan,452098
Gym and Swim,956172
FREE FLOW FLAVA ,1186015
CoreKidZ,13609222
LOWFAT,14099386
Klear,95427
Elecrystal Sound Team,12288929
AMTwo,12642917
Off-Gun,31814508
Potato,72492
The Hu,30615613
H.M.Funk Music,12291554
2088Official,31434921
AltaiKAI,106630
ORDA,12000034
LOSO,12975122
NINE BY NINE,30586942
New & Jiew,106863
Weed,12071037
Мельница,818191
Bodyslam,88356
The Messy梅西合唱团,12967340
Gigi,93337
Huun-Huur-Tu,106782
Yes'sir Days,11971079
Vatican音乐公会,12897103
Sleepmakeswaves,100022
Paradox,1191079
Natural Garden,711197
WhatChaRaWaLee,12312225
The Bottom Blues,103498
25hours,106998
孤凌单行,32465525
SBFIVE,13014079
Kissboys TH,32969750
温柔乡,30597591
Labanoon,11991056
Krist-Singto,14098156
August Band,106634
Cutie*,1142003
Mindset,12143053
Crystal Lake,1161044
THE OLD ISE,13014078
Cocktail,1146056
TATAR,106929
野狼乐队,12359215
Room 39,12170117
Budokan,106688
Three Man Down,12838890
SHIRAQ,13701254
普天堡电子乐团,32124859
巅藏说唱团,12119141
Inspirative,106790
Big Ass,88819
Anima,85667
Yiltiz,1064094
Namgar,106855
Dvar,106722
Pause,12231140
SkyLights,1143051
Part Time Musicians,12219123
Zaza,12977204
Singular,100101
MelodyGarden,12172468
Husan,12111066
SIH SHANDIIN HOOLAI,12200872
Khalid,510446
BNK48,12264173
Khusugtun,1028050
Brook,32877265
歌手名字,歌手ID
米津玄師,159300
久石譲,14408
高梨康治,15639
まふまふ,896913
澤野弘之,15290
Sou,1193225
清水準一,13642023
菅野祐悟,14472
DAISHI DANCE,13953
神山羊,12323265
雅-MIYAVI-,14732
TK from 凛として時雨,159644
坂本龍一,15289
Yunomi,1025016
和田光司,15800
宗次郎,14960
菅田将暉,12334348
ぼくのりりっくのぼうよみ,1193435
川井憲次,14437
いすぼくろ,12006116
横山克,15917
増田俊郎,14762
ハセガワダイスケ,1025284
4円,782024
大野克夫,15105
DECO*27,14001
mpi,12475614
佐橋俊彦,15291
神前暁,14629
矢野立美,15948
植地雅哉,15789
hideyuki hashimoto,14305
岸部眞明,14429
玉置浩二,15558
和田薫,15824
a_hisa,13908
鏡音レン,190527
ギガP,804355
宮崎歩,829001
野田洋次郎,12551023
吉森信,15855
そらる,15513
折戸伸治,15102
DJ Okawari,13950
Otokaze,15164
岩崎琢,14056
小瀬村晶,13773
出羽良彰,855541
天門,15599
光宗信吉,14775
Coda(小田和奏),1015563
秦基博,14153
kobasolo,12602415
徳永英明,13961
ゆう十,15947
ウォルピスカーター,1135024
JAY'ED,14410
押尾コータロー,15081
Ken Arai,14695
Linked Horizon,15258
浜口史郎,14220
祖堅正慶,824090
n-buna,981185
黒うさP,14610
足首,12023217
wowaka,15823
Neru,546614
illion,711232
宮野真守,161902
姫神,14400
芳賀敬太,12251253
すぃ,12108042
やまだ豊,896309
削除,12073277
MARETU,12011147
Mabanua,14748
百石元,14267
Eve,1075075
橋本仁,906051
星野源,14242
Nintendo Sound Team,159467
牛尾憲輔,18392
ササノマリイ,1005027
松田光由,14823
Yosh,12531093
Alys,13808
あよ,29500370
西川貴教,15557
平井 大,14270
悠,12319738
富永TOMMY弘明,139855
Fdby,12095302
麻枝准,14782
はるまきごはん,12175308
rairu,1049315
山岡晃,15871
yutaka hirasaka,15927
増田俊樹,911008
林ゆうき,14202
松田彬人,17432
歌手名字,歌手ID
Aimer,16152
初音ミク,159692
DAOKO,855508
鎖那,1002089
花澤香菜,16456
majiko,191316
MISIA,17032
LiSA,16995
鹿乃,17014
中島美嘉,160729
茅野愛衣,16906
Reol,13059968
小林未郁,16823
梶浦由記,16692
戸松遥,17905
早見沙織,16501
mizuki,981205
Ayasa绚沙,1193188
GUMI,188274
鏡音リン,160154
れをる,990289
KOKIA,16686
花たん,16523
milet,31464106
つじあやの,17637
磯村由紀子,16658
美波,30616560
Reigo_叉叉,12519665
手嶌葵,17904
あいみょん,1053279
水瀬いのり,1004106
木村弓,16874
茶太,17601
春茶,29690148
當山みれい,954456
Gemie,12531080
青山テルマ,16017
中村千尋,12107158
広橋真紀子,16424
v flower,1002040
やなぎなぎ,18303
Uru,12062125
日向文,12467180
東山奈央,18012
ラブリーサマーちゃん,1120193
nameless,1150207
miu-clips,17088
伊藤サチコ,16605
Ms.OOJA,17143
YUI,18168
96猫,18345
鈴木このみ,17881
CHiCO with HoneyWorks,1049332
